iter	Passed	Remaining
773	18970	5539
774	19001	5516
775	19028	5492
776	19061	5470
777	19100	5450
778	19128	5426
779	19166	5405
780	19194	5382
781	19227	5360
782	19264	5338
783	19293	5315
784	19322	5292
785	19350	5268
786	19384	5246
787	19412	5222
788	19441	5199
789	19471	5175
790	19502	5153
791	19527	5128
792	19555	5104
793	19588	5082
794	19617	5058
795	19648	5035
796	19677	5011
797	19710	4989
798	19739	4965
799	19776	4944
800	19810	4921
801	19842	4898
802	19871	4875
803	19904	4852
804	19937	4829
805	19969	4806
806	20000	4783
807	20030	4759
808	20066	4737
809	20096	4713
810	20131	4691
811	20163	4668
812	20196	4645
813	20224	4621
814	20250	4596
815	20281	4573
816	20315	4550
817	20347	4527
818	20382	4504
819	20409	4480
820	20439	4456
821	20473	4433
822	20506	4410
823	20537	4386
824	20571	4363
825	20603	4340
826	20637	4317
827	20669	4293
828	20698	4269
829	20724	4244
830	20758	4221
831	20789	4197
832	20815	4173
833	20844	4148
834	20876	4125
835	20906	4101
836	20938	4077
837	20967	4053
838	20999	4029
839	21031	4005
840	21055	3980
841	21084	3956
842	21120	3933
843	21147	3908
844	21180	3885
845	21213	3861
846	21240	3836
847	21271	3812
848	21304	3789
849	21332	3764
850	21368	3741
851	21396	3716
852	21430	3693
853	21459	3668
854	21492	3644
855	21515	3619
856	21548	3595
857	21574	3570
858	21604	3546
859	21630	3521
860	21662	3497
861	21696	3473
862	21725	3448
863	21760	3425
864	21791	3400
865	21825	3377
866	21858	3353
867	21891	3329
868	21923	3304
869	21952	3280
870	21980	3255
871	22009	3230
872	22039	3206
873	22070	3181
874	22107	3158
875	22134	3133
876	22172	3109
877	22203	3085
878	22237	3061
879	22272	3037
880	22306	3013
881	22333	2987
882	22369	2963
883	22392	2938
884	22428	2914
885	22459	2889
886	22494	2865
887	22527	2841
888	22560	2816
889	22586	2791
890	22617	2766
891	22647	2742
892	22676	2717
893	22708	2692
894	22743	2668
895	22775	2643
896	22809	2619
897	22866	2597
898	22900	2572
899	22923	2547
900	22950	2521
901	22983	2497
902	23018	2472
903	23046	2447
904	23077	2422
905	23112	2397
906	23150	2373
907	23180	2348
908	23214	2323
909	23243	2298
910	23277	2274
911	23306	2248
912	23340	2224
913	23368	2198
914	23395	2173
915	23426	2148
916	23453	2122
917	23486	2097
918	23511	2072
919	23543	2047
920	23572	2021
921	23603	1996
922	23632	1971
923	23665	1946
924	23703	1921
925	23735	1896
926	23756	1870
927	23786	1845
928	23804	1819
929	23834	1794
930	23868	1768
931	23895	1743
932	23937	1718
933	23980	1694
934	24013	1669
935	24044	1644
936	24077	1618
937	24112	1593
938	24144	1568
939	24176	1543
940	24201	1517
941	24219	1491
942	24241	1465
943	24274	1440
944	24303	1414
945	24331	1388
946	24362	1363
947	24396	1338
948	24425	1312
949	24457	1287
950	24489	1261
951	24521	1236
952	24549	1210
953	24577	1185
954	24609	1159
955	24642	1134
956	24676	1108
957	24706	1083
958	24731	1057
959	24760	1031
960	24791	1006
961	24817	980
962	24841	954
963	24859	928
964	24876	902
965	24895	876
966	24911	850
967	24934	824
968	24956	798
969	24973	772
970	24993	746
971	25009	720
972	25031	694
973	25049	668
974	25068	642
975	25084	616
976	25105	591
977	25145	565
978	25186	540
979	25222	514
980	25254	489
981	25278	463
982	25301	437
983	25324	411
984	25356	386
985	25375	360
986	25395	334
987	25409	308
988	25427	282
989	25442	256
990	25458	231
991	25474	205
992	25491	179
993	25506	153
994	25521	128
995	25538	102
996	25553	76
997	25569	51
998	25586	25
999	25602	0
