iter	RMSE
0	0.6926790642
1	0.6681342237
2	0.646094687
3	0.6260865379
4	0.6083699502
5	0.5922328125
6	0.5781760797
7	0.5653406916
8	0.5544832621
9	0.5445627996
10	0.5357916423
11	0.5281257943
12	0.5213500678
13	0.5150724476
14	0.5097831626
15	0.5051395437
16	0.5007603913
17	0.4967928296
18	0.4929405704
19	0.4898754448
20	0.4868182735
21	0.4842507351
22	0.4815538718
23	0.4792366527
24	0.4771178303
25	0.4749280134
26	0.4729527085
27	0.4712997169
28	0.4697395416
29	0.4682794609
30	0.4670004476
31	0.4656656809
32	0.4642670305
33	0.4629845802
34	0.4619057932
35	0.4607414437
36	0.4597627206
37	0.4588974533
38	0.4581497391
39	0.457429307
40	0.4566441984
41	0.4560439248
42	0.4554078536
43	0.4546123018
44	0.4540064031
45	0.4534634347
46	0.4529484847
47	0.4522495574
48	0.4516573226
49	0.4512406083
50	0.4507345899
51	0.4501871726
52	0.4497057577
53	0.4490561037
54	0.4486587949
55	0.4482737063
56	0.4478331761
57	0.4472604793
58	0.4468705902
59	0.4466236885
60	0.4461327208
61	0.4458030168
62	0.4452575868
63	0.4446976888
64	0.4442580643
65	0.4439732742
66	0.4436063008
67	0.4432964194
68	0.4430392881
69	0.4426643056
70	0.442357005
71	0.4420594162
72	0.4417505463
73	0.4415167202
74	0.4412256786
75	0.4409021576
76	0.4406571696
77	0.4403516932
78	0.4401038561
79	0.4398185378
80	0.4395762402
81	0.4394213867
82	0.4391612684
83	0.4389028354
84	0.4386927364
85	0.4384593978
86	0.4382648127
87	0.4379293922
88	0.43772692
89	0.4375474596
90	0.4372879525
91	0.4371263125
92	0.4369670006
93	0.4368652743
94	0.4367303748
95	0.4364117664
96	0.4361478059
97	0.4360500303
98	0.4357516123
99	0.4356190757
100	0.4353551649
101	0.4351575395
102	0.4350044048
103	0.4348436289
104	0.434662813
105	0.4344719972
106	0.4343241649
107	0.4341424418
108	0.4338861123
109	0.4338146598
110	0.4337078306
111	0.4336392792
112	0.4335213481
113	0.4334168665
114	0.4331956032
115	0.4331300685
116	0.4329432803
117	0.4328003393
118	0.4326524778
119	0.4324250795
120	0.4322825515
121	0.4321744852
122	0.4319865565
123	0.4318990261
124	0.4317688914
125	0.4316567877
126	0.4315636994
127	0.431400803
128	0.4312347059
129	0.4310879186
130	0.430921545
131	0.4308054262
132	0.430716618
133	0.430430016
134	0.4303139983
135	0.4301706137
136	0.4300153215
137	0.4298840777
138	0.4297925167
139	0.4297041605
140	0.4295324975
141	0.4294853352
142	0.4293495239
143	0.4292735271
144	0.4291645361
145	0.4290315944
146	0.4288634365
147	0.4286752768
148	0.4285332866
149	0.4284230151
150	0.4282835956
151	0.4282268279
152	0.4280961409
153	0.427982253
154	0.4278179258
155	0.4277280052
156	0.4276555302
157	0.4275728988
158	0.4274412972
159	0.4273085558
160	0.4272363823
161	0.4270764755
162	0.427001933
163	0.426854072
164	0.4267585697
165	0.4266146664
166	0.4264925613
167	0.4263997441
168	0.4263073168
169	0.4262136081
170	0.4261045682
171	0.4260139416
172	0.4258878299
173	0.4257321489
174	0.4255838977
175	0.4254528823
176	0.4253430012
177	0.4252638749
178	0.4251955666
179	0.4250950719
180	0.4250101861
181	0.4249258965
182	0.4248317182
183	0.4247473471
184	0.4246313912
185	0.4245760473
186	0.4244734249
187	0.4243497589
188	0.4242568612
189	0.4241697303
190	0.4241087811
191	0.4240229861
192	0.4239489935
193	0.4238576734
194	0.4237728171
195	0.4237056662
196	0.4236460633
197	0.4235980583
198	0.4235346802
199	0.4234631161
200	0.4233943959
201	0.4233107481
202	0.4232105637
203	0.4231226794
204	0.4229968993
205	0.4228735908
206	0.422789527
207	0.4226940649
208	0.422597414
209	0.4224639373
210	0.4223820448
211	0.42230671
212	0.422233876
213	0.4221589837
214	0.4221162547
215	0.4220307608
216	0.4218991687
217	0.4218336397
218	0.4217647298
219	0.4217280497
220	0.4216626101
221	0.4215975824
222	0.4215483927
223	0.4214423761
224	0.4213994471
225	0.421319631
226	0.4212041308
227	0.4211419019
228	0.4210919326
229	0.4210188638
230	0.4209186073
231	0.420859433
232	0.420780893
233	0.4207545602
234	0.4206816919
235	0.4206104084
236	0.42050615
237	0.4204398394
238	0.4203565603
239	0.4202965253
240	0.4202224191
